// JOGOS
// Version 1.05
// File Date:2025/07/15 19:05:11
// (C) 2019-2023 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS
Type=INFINITY

[Head]
SondeName=AEM-USB
SondeNo=1919
SensorType=T0R0R1X0Y0B0
SensorType2=030101020202
Channel=6
Comment=Kelompok 13 dan 14
MeasMode=1

PreHeat=3000
Interval=1000
BurstCnt=10
BurstTime=1
WiperInterval=0
DelayTime=0
BuzzerEN=1
BuzzerInterval=1
BuzzerNumber=3
SampleCnt=6950

StartTime=2025/07/15 07:30:00
EndTime=2025/07/15 19:04:09

DepAdjRho=0.0000

ECA=0
ECB=0
ECDeg=0
ECCoef=0.000

CHLA=0
CHLB=0

AlphaData=0.1
BetaData=-3.11

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2021/11/11

Ch1=-1.359212e+01,+1.340604e-03,-1.266932e-08,+1.499809e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=-1.247062e+00,-1.303731e-05,+2.376205e-09,-2.434040e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch3=-1.135576e+00,-2.468658e-05,+2.747151e-09,-2.820625e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch4=-6.008107e+02,+1.832601e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=-6.050220e+02,+1.845396e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch6=0.000000000e00,1.152000000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Vel. [cm/sec],Dir. [°],Vel.-NS [cm/sec],Vel.-EW [cm/sec],Temp. [℃],Comp A,Comp B,Compass [°],Vel.-X [cm/sec],Vel.-Y [cm/sec],Batt. [V]
2025/07/15 07:35:01,40.372,215.729,-32.774,-23.576,28.421,0.4,0.9,23.310,-8.53,-38.74,2.98,
2025/07/15 07:35:02,19.052,163.460,-18.263,5.424,28.420,-0.3,0.9,336.932,-2.15,-18.83,2.98,
2025/07/15 07:35:03,35.395,233.992,-20.809,-28.632,28.420,-0.4,0.9,333.530,-34.54,-5.80,2.98,
2025/07/15 07:35:04,149.248,84.079,15.396,148.452,28.418,-0.3,0.9,337.686,139.10,-40.92,2.98,
2025/07/15 07:35:05,47.257,12.314,46.170,10.079,28.414,0.4,0.9,18.704,-5.23,46.73,2.98,
2025/07/15 07:35:06,115.496,117.348,-53.059,102.587,28.411,0.0,1.0,358.659,94.61,-51.77,2.98,
2025/07/15 07:35:07,45.146,307.679,27.594,-35.731,28.411,-0.4,0.9,330.574,-16.71,39.56,2.98,
2025/07/15 07:35:08,80.633,168.928,-79.132,15.485,28.408,-0.2,0.9,343.502,-7.60,-79.99,2.97,
2025/07/15 07:35:09,145.826,325.174,119.707,-83.279,28.403,-0.4,0.9,335.408,-25.59,141.77,2.98,
2025/07/15 07:36:00,79.892,33.216,66.838,43.765,28.341,-0.4,0.8,330.860,66.29,34.72,2.98,
2025/07/15 07:36:01,137.977,12.239,134.841,29.249,28.341,-0.5,0.8,324.660,92.66,84.68,2.98,
2025/07/15 07:36:02,77.287,185.778,-76.895,-7.781,28.337,-0.5,0.8,328.352,-42.97,-56.15,2.98,
2025/07/15 07:36:03,53.856,24.831,48.877,22.617,28.336,-0.5,0.9,328.993,41.02,27.84,2.98,
2025/07/15 07:36:04,81.424,318.862,61.323,-53.566,28.332,-0.5,0.9,328.971,-14.12,79.21,2.98,
2025/07/15 07:36:05,95.360,351.293,94.261,-14.435,28.328,-0.3,0.9,337.115,22.84,90.42,2.98,
2025/07/15 07:36:06,51.356,354.686,51.135,-4.756,28.326,-0.3,0.9,337.454,14.74,47.53,2.98,
2025/07/15 07:36:07,126.902,12.843,123.728,28.207,28.325,-0.3,0.9,338.513,65.85,96.43,2.98,
2025/07/15 07:36:08,133.150,325.753,110.065,-74.931,28.326,-0.2,0.9,343.812,-39.89,122.34,2.98,
