// JOGOS
// Version 1.05
// File Date:2025/07/15 19:05:11
// (C) 2019-2023 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS
Type=INFINITY

[Head]
SondeName=AEM-USB
SondeNo=1919
SensorType=T0R0R1X0Y0B0
SensorType2=030101020202
Channel=6
Comment=Kelompok 13 dan 14
MeasMode=1

PreHeat=3000
Interval=1000
BurstCnt=10
BurstTime=1
WiperInterval=0
DelayTime=0
BuzzerEN=1
BuzzerInterval=1
BuzzerNumber=3
SampleCnt=6950

StartTime=2025/07/15 07:30:00
EndTime=2025/07/15 19:04:09

DepAdjRho=0.0000

ECA=0
ECB=0
ECDeg=0
ECCoef=0.000

CHLA=0
CHLB=0

AlphaData=0.1
BetaData=-3.11

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2021/11/11

Ch1=-1.359212e+01,+1.340604e-03,-1.266932e-08,+1.499809e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=-1.247062e+00,-1.303731e-05,+2.376205e-09,-2.434040e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch3=-1.135576e+00,-2.468658e-05,+2.747151e-09,-2.820625e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch4=-6.008107e+02,+1.832601e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=-6.050220e+02,+1.845396e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch6=0.000000000e00,1.152000000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Vel. [cm/sec],Dir. [°],Vel.-NS [cm/sec],Vel.-EW [cm/sec],Temp. [℃],Comp A,Comp B,Compass [°],Vel.-X [cm/sec],Vel.-Y [cm/sec],Batt. [V]
2025/07/15 12:22:00,18.174,105.119,-4.740,17.545,28.074,-0.1,-1.0,181.284,-17.27,4.25,2.93,
2025/07/15 12:22:01,143.398,43.787,103.521,99.229,28.073,-0.1,-1.0,181.248,-88.20,-96.12,2.93,
2025/07/15 12:22:02,16.207,269.231,-0.218,-16.206,28.073,-0.1,-1.0,181.223,16.19,0.56,2.93,
2025/07/15 12:22:03,157.863,26.544,141.223,70.546,28.072,-0.1,-1.0,181.212,-63.73,-134.63,2.93,
2025/07/15 12:22:04,47.068,348.337,46.096,-9.515,28.073,-0.1,-1.0,181.205,10.29,-45.04,2.93,
2025/07/15 12:22:05,47.339,54.479,27.504,38.530,28.074,-0.1,-1.0,181.191,-34.76,-25.92,2.93,
2025/07/15 12:22:06,67.950,279.604,11.336,-66.998,28.074,-0.1,-1.0,181.187,66.66,-9.86,2.93,
2025/07/15 12:22:07,86.598,265.967,-6.090,-86.383,28.076,-0.1,-1.0,181.187,85.96,7.85,2.93,
2025/07/15 12:22:08,114.966,189.343,-113.441,-18.664,28.075,-0.1,-1.0,181.184,16.19,112.91,2.93,
2025/07/15 12:22:09,55.070,87.611,2.296,55.023,28.075,-0.1,-1.0,181.180,-54.88,-3.42,2.93,
2025/07/15 12:23:00,57.256,80.885,9.071,56.533,28.070,-0.1,-1.0,181.292,-55.61,-10.21,2.93,
2025/07/15 12:23:01,100.486,9.211,99.190,16.085,28.070,-0.1,-1.0,181.252,-13.81,-98.77,2.93,
2025/07/15 12:23:02,145.125,316.176,104.704,-100.490,28.071,-0.1,-1.0,181.231,93.38,-93.20,2.93,
2025/07/15 12:23:03,95.020,22.548,87.756,36.436,28.074,-0.1,-1.0,181.212,-33.05,-84.62,2.93,
2025/07/15 12:23:04,207.224,343.654,198.849,-58.320,28.075,-0.1,-1.0,181.209,60.50,-191.25,2.93,
2025/07/15 12:23:05,61.882,17.979,58.860,19.101,28.076,-0.1,-1.0,181.206,-17.33,-57.49,2.93,
2025/07/15 12:23:06,146.939,318.106,109.379,-98.119,28.075,-0.1,-1.0,181.195,91.29,-97.59,2.93,
2025/07/15 12:23:07,136.733,23.090,125.779,53.624,28.075,-0.1,-1.0,181.191,-48.67,-121.07,2.93,
2025/07/15 12:23:08,68.091,60.993,33.018,59.549,28.075,-0.1,-1.0,181.191,-54.71,-31.84,2.93,
2025/07/15 12:23:09,86.716,52.233,53.109,68.550,28.074,-0.1,-1.0,181.188,-61.55,-49.76,2.93,
2025/07/15 12:24:00,144.255,53.880,85.036,116.527,28.072,-0.1,-1.0,181.291,-104.82,-80.17,2.93,
2025/07/15 12:24:01,124.597,352.218,123.449,-16.872,28.071,-0.1,-1.0,181.252,19.38,-121.88,2.93,
2025/07/15 12:24:02,38.277,201.243,-35.676,-13.869,28.071,-0.1,-1.0,181.231,12.58,34.54,2.93,
2025/07/15 12:24:03,39.677,314.913,28.013,-28.099,28.070,-0.1,-1.0,181.220,26.09,-24.92,2.93,
2025/07/15 12:24:04,90.068,108.951,-29.250,85.186,28.069,-0.1,-1.0,181.213,-82.99,26.55,2.93,
2025/07/15 12:24:05,201.322,2.351,201.152,8.259,28.066,-0.1,-1.0,181.206,-4.02,-201.25,2.93,
2025/07/15 12:24:06,52.757,134.176,-36.764,37.838,28.065,-0.1,-1.0,181.198,-35.11,32.71,2.93,
2025/07/15 12:24:07,193.278,57.082,105.034,162.248,28.066,-0.1,-1.0,181.187,-147.33,-99.77,2.93,
2025/07/15 12:24:08,101.445,298.619,48.591,-89.051,28.066,-0.1,-1.0,181.191,84.40,-43.80,2.93,
2025/07/15 12:24:09,102.371,109.526,-34.215,96.484,28.068,-0.1,-1.0,181.184,-93.82,31.10,2.93,
2025/07/15 12:25:00,126.391,327.389,106.465,-68.116,28.059,-0.1,-1.0,181.295,64.94,-96.62,2.93,
2025/07/15 12:25:01,98.259,128.672,-61.398,76.714,28.061,-0.1,-1.0,181.255,-71.39,54.61,2.93,
2025/07/15 12:25:02,140.507,345.511,136.039,-35.153,28.060,-0.1,-1.0,181.241,37.08,-131.66,2.93,
2025/07/15 12:25:03,126.678,356.884,126.490,-6.885,28.062,-0.1,-1.0,181.212,9.54,-126.03,2.93,
2025/07/15 12:25:04,64.031,170.491,-63.151,10.579,28.062,-0.1,-1.0,181.197,-11.74,62.09,2.93,
2025/07/15 12:25:05,161.079,47.878,108.037,119.476,28.062,-0.1,-1.0,181.205,-106.56,-100.51,2.93,
2025/07/15 12:25:06,72.714,218.785,-56.680,-45.548,28.062,-0.1,-1.0,181.198,40.56,52.70,2.93,
2025/07/15 12:25:07,77.391,352.215,76.678,-10.483,28.061,-0.1,-1.0,181.187,11.96,-75.73,2.93,
2025/07/15 12:25:08,61.016,308.259,37.782,-47.912,28.061,-0.1,-1.0,181.183,44.56,-33.67,2.93,
2025/07/15 12:25:09,154.348,22.423,142.678,58.876,28.062,-0.1,-1.0,181.180,-53.49,-137.58,2.93,
2025/07/15 12:26:00,47.392,295.305,20.257,-42.845,28.058,-0.1,-1.0,181.288,41.02,-18.28,2.93,
2025/07/15 12:26:01,36.779,333.934,33.038,-16.161,28.059,-0.1,-1.0,181.245,15.82,-30.64,2.93,
2025/07/15 12:26:02,218.953,59.050,112.604,187.778,28.061,-0.1,-1.0,181.227,-171.40,-107.84,2.93,
2025/07/15 12:26:03,28.600,37.229,22.772,17.303,28.062,-0.1,-1.0,181.209,-15.42,-21.21,2.93,
2025/07/15 12:26:04,107.190,285.813,29.209,-103.133,28.063,-0.1,-1.0,181.209,101.31,-26.40,2.93,
2025/07/15 12:26:05,90.774,143.565,-73.031,53.912,28.062,-0.1,-1.0,181.195,-50.68,65.74,2.93,
2025/07/15 12:26:06,54.593,53.198,32.704,43.713,28.065,-0.1,-1.0,181.195,-39.32,-30.72,2.93,
2025/07/15 12:26:07,112.647,15.752,108.417,30.580,28.066,-0.1,-1.0,181.191,-27.66,-106.51,2.93,
2025/07/15 12:26:08,153.233,356.819,152.997,-8.504,28.066,-0.1,-1.0,181.180,11.63,-152.44,2.93,
2025/07/15 12:26:09,80.637,89.727,0.384,80.636,28.068,-0.1,-1.0,181.177,-80.59,-2.04,2.93,
2025/07/15 12:27:00,91.168,252.899,-26.809,-87.137,28.057,-0.1,-1.0,181.287,83.52,27.76,2.93,
2025/07/15 12:27:01,18.342,332.889,16.327,-8.359,28.058,-0.1,-1.0,181.252,8.14,-15.09,2.93,
2025/07/15 12:27:02,180.619,347.859,176.579,-37.988,28.057,-0.1,-1.0,181.226,40.93,-172.24,2.93,
2025/07/15 12:27:03,109.046,341.104,103.170,-35.315,28.058,-0.1,-1.0,181.219,36.00,-98.29,2.93,
2025/07/15 12:27:04,129.555,338.790,120.779,-46.872,28.058,-0.1,-1.0,181.208,47.07,-114.09,2.93,
2025/07/15 12:27:05,43.009,26.757,38.404,19.363,28.056,-0.1,-1.0,181.201,-17.49,-36.58,2.93,
2025/07/15 12:27:06,103.514,75.202,26.438,100.081,28.054,-0.1,-1.0,181.197,-96.79,-27.75,2.93,
2025/07/15 12:27:07,133.309,44.704,94.750,93.775,28.053,-0.1,-1.0,181.187,-83.47,-87.91,2.93,
2025/07/15 12:27:08,51.966,22.258,48.094,19.684,28.053,-0.1,-1.0,181.187,-17.88,-46.40,2.93,
2025/07/15 12:27:09,139.105,334.776,125.842,-59.280,28.052,-0.1,-1.0,181.184,58.17,-117.15,2.93,
2025/07/15 12:28:00,84.048,316.276,60.740,-58.093,28.049,-0.1,-1.0,181.281,54.03,-54.02,2.93,
2025/07/15 12:28:01,64.711,350.105,63.748,-11.121,28.051,-0.1,-1.0,181.259,12.34,-62.59,2.93,
2025/07/15 12:28:02,100.170,99.760,-16.980,98.720,28.051,-0.1,-1.0,181.238,-98.22,14.72,2.93,
2025/07/15 12:28:03,74.145,54.555,42.998,60.404,28.051,-0.1,-1.0,181.220,-54.48,-40.55,2.93,
2025/07/15 12:28:04,106.805,106.202,-29.802,102.563,28.050,-0.1,-1.0,181.212,-100.66,26.95,2.93,
2025/07/15 12:28:05,44.562,327.630,37.637,-23.858,28.049,-0.1,-1.0,181.202,22.71,-34.22,2.93,
2025/07/15 12:28:06,125.298,358.148,125.232,-4.049,28.050,-0.1,-1.0,181.199,6.66,-124.98,2.93,
2025/07/15 12:28:07,49.706,292.081,18.686,-46.060,28.052,-0.1,-1.0,181.195,44.47,-16.97,2.93,
2025/07/15 12:28:08,154.830,168.218,-151.568,31.614,28.053,-0.1,-1.0,181.188,-34.10,148.05,2.93,
2025/07/15 12:28:09,110.413,258.122,-22.727,-108.049,28.056,-0.1,-1.0,181.184,105.51,24.48,2.93,
2025/07/15 12:29:00,97.924,35.494,79.728,56.856,28.056,-0.1,-1.0,181.292,-50.66,-74.54,2.93,
2025/07/15 12:29:01,33.227,197.698,-31.655,-10.101,28.057,-0.1,-1.0,181.259,9.13,30.96,2.93,
2025/07/15 12:29:02,175.220,19.003,165.670,57.055,28.060,-0.1,-1.0,181.234,-51.73,-161.41,2.93,
2025/07/15 12:29:03,55.512,2.101,55.474,2.035,28.060,-0.1,-1.0,181.220,-0.85,-55.50,2.93,
2025/07/15 12:29:04,94.911,284.024,22.999,-92.082,28.059,-0.1,-1.0,181.213,90.85,-20.66,2.93,
2025/07/15 12:29:05,94.728,125.182,-54.580,77.424,28.061,-0.1,-1.0,181.209,-72.34,48.75,2.93,
2025/07/15 12:29:06,76.167,49.871,49.091,58.237,28.062,-0.1,-1.0,181.198,-52.07,-45.79,2.93,
2025/07/15 12:29:07,120.536,180.868,-120.522,-1.827,28.063,-0.1,-1.0,181.187,-0.67,120.53,2.93,
2025/07/15 12:29:08,53.840,46.484,37.072,39.044,28.064,-0.1,-1.0,181.180,-34.79,-34.43,2.93,
2025/07/15 12:29:09,34.273,230.283,-21.900,-26.363,28.063,-0.1,-1.0,181.184,23.59,20.44,2.93,
2025/07/15 12:30:00,63.453,93.034,-3.359,63.364,28.050,-0.1,-1.0,181.292,-63.40,1.93,2.93,
2025/07/15 12:30:01,148.133,44.687,105.316,104.172,28.049,-0.1,-1.0,181.252,-92.61,-97.81,2.93,
2025/07/15 12:30:02,142.193,15.206,137.215,37.296,28.050,-0.1,-1.0,181.231,-33.60,-135.02,2.93,
2025/07/15 12:30:03,82.509,349.413,81.105,-15.159,28.049,-0.1,-1.0,181.216,16.61,-79.49,2.93,
2025/07/15 12:30:04,63.665,5.641,63.356,6.258,28.048,-0.1,-1.0,181.213,-4.90,-63.32,2.93,
2025/07/15 12:30:05,100.228,305.601,58.346,-81.494,28.048,-0.1,-1.0,181.194,76.08,-52.10,2.93,
2025/07/15 12:30:06,149.809,71.005,48.761,141.651,28.047,-0.1,-1.0,181.191,-134.95,-49.61,2.93,
2025/07/15 12:30:07,65.028,108.323,-20.443,61.731,28.045,-0.1,-1.0,181.184,-60.23,18.57,2.93,
2025/07/15 12:30:08,167.586,333.113,149.471,-75.787,28.045,-0.1,-1.0,181.191,73.79,-138.32,2.93,
2025/07/15 12:30:09,98.610,11.505,96.629,19.669,28.046,-0.1,-1.0,181.180,-17.46,-95.82,2.93,
2025/07/15 12:31:00,59.892,11.743,58.639,12.189,28.054,-0.1,-1.0,181.288,-10.73,-58.16,2.93,
2025/07/15 12:31:01,98.637,317.449,72.663,-66.703,28.056,-0.1,-1.0,181.252,62.08,-64.73,2.93,
2025/07/15 12:31:02,120.042,316.779,87.476,-82.207,28.058,-0.1,-1.0,181.231,76.43,-77.90,2.93,
2025/07/15 12:31:03,172.464,32.273,145.821,92.087,28.060,-0.1,-1.0,181.212,-82.53,-137.03,2.93,
2025/07/15 12:31:04,119.081,57.123,64.641,100.008,28.062,-0.1,-1.0,181.209,-90.80,-61.44,2.93,
2025/07/15 12:31:05,82.284,347.845,80.440,-17.325,28.062,-0.1,-1.0,181.198,18.63,-78.48,2.93,
2025/07/15 12:31:06,161.786,25.148,146.451,68.752,28.063,-0.1,-1.0,181.191,-62.26,-140.13,2.93,
2025/07/15 12:31:07,116.777,5.403,116.259,10.995,28.061,-0.1,-1.0,181.195,-8.55,-116.21,2.93,
2025/07/15 12:31:08,110.713,298.529,52.876,-97.270,28.061,-0.1,-1.0,181.187,92.21,-47.68,2.93,
2025/07/15 12:31:09,117.992,135.678,-84.414,82.440,28.061,-0.1,-1.0,181.188,-76.52,75.17,2.93,
2025/07/15 12:32:00,19.892,40.320,15.167,12.871,28.064,-0.1,-1.0,181.229,-11.45,-14.09,2.93,
2025/07/15 12:32:01,150.430,67.931,56.520,139.408,28.063,-0.1,-1.0,181.185,-131.30,-56.42,2.93,
2025/07/15 12:32:02,60.284,20.040,56.634,20.657,28.064,-0.1,-1.0,181.168,-18.79,-54.98,2.93,
2025/07/15 12:32:03,59.230,181.458,-59.211,-1.507,28.064,-0.1,-1.0,181.150,0.32,59.23,2.93,
2025/07/15 12:32:04,70.405,73.757,19.693,67.595,28.065,-0.1,-1.0,181.150,-65.07,-20.38,2.93,
2025/07/15 12:32:05,127.639,73.646,35.940,122.475,28.066,-0.1,-1.0,181.135,-117.87,-37.14,2.93,
2025/07/15 12:32:06,50.037,319.357,37.967,-32.591,28.068,-0.1,-1.0,181.128,30.34,-33.96,2.93,
2025/07/15 12:32:07,65.902,1.962,65.864,2.257,28.068,-0.1,-1.0,181.124,-0.96,-65.89,2.93,
2025/07/15 12:32:08,103.772,104.601,-26.160,100.420,28.066,-0.1,-1.0,181.120,-98.88,23.70,2.93,
2025/07/15 12:32:09,101.214,341.231,95.832,-32.567,28.065,-0.1,-1.0,181.124,33.09,-91.43,2.93,
2025/07/15 12:33:00,42.381,91.495,-1.106,42.367,28.057,-0.1,-1.0,181.232,-42.38,0.19,2.93,
2025/07/15 12:33:01,111.700,138.570,-83.749,73.913,28.059,-0.1,-1.0,181.193,-68.81,74.77,2.93,
2025/07/15 12:33:02,119.218,331.557,104.827,-56.782,28.059,-0.1,-1.0,181.168,54.86,-96.52,2.93,
2025/07/15 12:33:03,244.163,36.173,197.099,144.110,28.058,-0.1,-1.0,181.150,-128.75,-183.72,2.93,
2025/07/15 12:33:04,69.379,325.369,57.087,-39.427,28.057,-0.1,-1.0,181.142,37.21,-51.64,2.93,
2025/07/15 12:33:05,172.631,356.481,172.305,-10.596,28.057,-0.1,-1.0,181.135,13.97,-171.61,2.93,
2025/07/15 12:33:06,60.388,2.917,60.309,3.073,28.056,-0.1,-1.0,181.132,-1.88,-60.33,2.93,
2025/07/15 12:33:07,132.371,330.862,115.619,-64.454,28.055,-0.1,-1.0,181.132,62.02,-106.27,2.93,
2025/07/15 12:33:08,191.227,352.559,189.616,-24.764,28.054,-0.1,-1.0,181.128,28.25,-187.46,2.93,
2025/07/15 12:33:09,56.240,329.947,48.680,-28.165,28.053,-0.1,-1.0,181.132,27.00,-44.61,2.93,
2025/07/15 12:34:00,31.813,92.110,-1.171,31.792,28.053,-0.1,-1.0,181.229,-31.81,0.49,2.93,
2025/07/15 12:34:01,70.612,350.777,69.699,-11.317,28.056,-0.1,-1.0,181.186,12.60,-68.58,2.93,
2025/07/15 12:34:02,65.280,170.749,-64.431,10.495,28.056,-0.1,-1.0,181.175,-11.67,63.40,2.93,
2025/07/15 12:34:03,181.139,350.553,178.683,-29.731,28.056,-0.1,-1.0,181.157,32.90,-175.75,2.93,
2025/07/15 12:34:04,92.415,17.531,88.123,27.837,28.057,-0.1,-1.0,181.139,-25.34,-86.13,2.93,
2025/07/15 12:34:05,146.985,168.198,-143.878,30.063,28.057,-0.1,-1.0,181.139,-32.30,140.57,2.93,
2025/07/15 12:34:06,65.501,88.733,1.449,65.485,28.057,-0.1,-1.0,181.132,-65.40,-2.74,2.93,
2025/07/15 12:34:07,176.629,332.354,156.464,-81.956,28.057,-0.1,-1.0,181.132,79.38,-144.52,2.93,
2025/07/15 12:34:08,60.001,354.470,59.722,-5.782,28.057,-0.1,-1.0,181.125,6.92,-59.28,2.93,
2025/07/15 12:34:09,77.508,8.506,76.656,11.464,28.057,-0.1,-1.0,181.128,-9.89,-76.37,2.93,
2025/07/15 12:35:00,171.299,21.109,159.804,61.691,28.056,-0.1,-1.0,181.244,-55.92,-154.78,2.93,
2025/07/15 12:35:01,86.711,19.187,81.894,28.498,28.057,-0.1,-1.0,181.211,-25.87,-79.73,2.93,
2025/07/15 12:35:02,67.527,342.110,64.262,-20.744,28.059,-0.1,-1.0,181.175,21.25,-61.48,2.93,
2025/07/15 12:35:03,95.423,31.213,81.611,49.450,28.060,-0.1,-1.0,181.172,-44.43,-76.83,2.93,
2025/07/15 12:35:04,141.072,48.148,94.125,105.080,28.058,-0.1,-1.0,181.169,-93.80,-87.54,2.93,
2025/07/15 12:35:05,84.686,146.693,-70.776,46.503,28.059,-0.1,-1.0,181.158,-44.08,64.23,2.93,
2025/07/15 12:35:06,170.720,10.053,168.099,29.802,28.059,-0.1,-1.0,181.162,-26.14,-167.11,2.93,
2025/07/15 12:35:07,32.392,79.256,6.039,31.824,28.058,-0.1,-1.0,181.273,-31.17,-6.63,2.93,
2025/07/15 12:35:08,175.221,343.594,168.088,-49.489,28.060,-0.1,-1.0,181.169,51.21,-161.68,2.93,
2025/07/15 12:35:09,29.834,352.020,29.545,-4.142,28.061,-0.1,-1.0,181.172,4.70,-29.17,2.93,
2025/07/15 12:36:00,58.233,184.492,-58.054,-4.560,28.049,-0.1,-1.0,181.251,3.29,58.07,2.93,
2025/07/15 12:36:01,49.728,195.432,-47.935,-13.233,28.051,-0.1,-1.0,181.175,11.97,47.12,2.93,
2025/07/15 12:36:02,117.322,340.718,110.741,-38.743,28.054,-0.1,-1.0,181.142,39.26,-105.44,2.93,
2025/07/15 12:36:03,80.239,71.407,25.583,76.051,28.052,-0.1,-1.0,181.131,-72.60,-26.03,2.93,
2025/07/15 12:36:04,59.533,179.830,-59.532,0.177,28.052,-0.1,-1.0,181.128,-1.35,59.51,2.93,
2025/07/15 12:36:05,79.645,304.754,45.402,-65.436,28.051,-0.1,-1.0,181.113,61.11,-40.66,2.93,
2025/07/15 12:36:06,142.723,357.715,142.610,-5.689,28.052,-0.1,-1.0,181.124,8.47,-142.27,2.93,
2025/07/15 12:36:07,109.528,323.925,88.525,-64.495,28.052,-0.1,-1.0,181.121,60.59,-79.84,2.93,
2025/07/15 12:36:08,107.849,33.105,90.342,58.904,28.053,-0.1,-1.0,181.117,-52.86,-84.64,2.93,
2025/07/15 12:36:09,46.657,306.485,27.743,-37.513,28.054,-0.1,-1.0,181.124,34.94,-24.79,2.93,
2025/07/15 12:37:00,104.257,257.159,-23.172,-101.649,28.062,-0.1,-1.0,181.250,98.91,24.83,2.93,
2025/07/15 12:37:01,82.691,347.863,80.842,-17.386,28.061,-0.1,-1.0,181.215,18.72,-78.86,2.93,
2025/07/15 12:37:02,70.399,269.228,-0.949,-70.392,28.061,-0.1,-1.0,181.189,70.32,2.41,2.93,
2025/07/15 12:37:03,65.140,323.300,52.228,-38.929,28.060,-0.1,-1.0,181.164,36.55,-47.01,2.93,
2025/07/15 12:37:04,89.115,259.643,-16.021,-87.663,28.061,-0.1,-1.0,181.146,86.01,17.50,2.93,
2025/07/15 12:37:05,77.246,13.918,74.978,18.580,28.061,-0.1,-1.0,181.135,-16.78,-73.95,2.93,
2025/07/15 12:37:06,82.074,175.233,-81.791,6.821,28.062,-0.1,-1.0,181.135,-8.40,81.30,2.93,
2025/07/15 12:37:07,109.892,309.457,69.837,-84.848,28.064,-0.1,-1.0,181.131,78.75,-62.25,2.93,
2025/07/15 12:37:08,101.417,47.796,68.130,75.125,28.064,-0.1,-1.0,181.128,-67.08,-63.29,2.93,
2025/07/15 12:37:09,52.673,13.383,51.242,12.192,28.064,-0.1,-1.0,181.154,-10.97,-50.61,2.93,
2025/07/15 12:38:00,36.405,329.959,31.515,-18.225,28.065,-0.1,-1.0,181.211,17.51,-28.85,2.93,
2025/07/15 12:38:01,153.506,19.497,144.704,51.233,28.065,-0.1,-1.0,181.167,-46.61,-140.70,2.93,
2025/07/15 12:38:02,25.447,308.199,15.736,-19.998,28.066,-0.1,-1.0,181.149,18.59,-14.03,2.93,
2025/07/15 12:38:03,68.290,218.040,-53.784,-42.081,28.065,-0.1,-1.0,181.142,37.54,50.00,2.93,
2025/07/15 12:38:04,90.934,302.761,49.208,-76.469,28.066,-0.1,-1.0,181.161,71.74,-44.13,2.93,
2025/07/15 12:38:05,106.332,343.546,101.978,-30.119,28.068,-0.1,-1.0,181.150,31.13,-98.09,2.93,
2025/07/15 12:38:06,121.119,302.111,64.381,-102.591,28.069,-0.1,-1.0,181.139,96.35,-57.83,2.93,
2025/07/15 12:38:07,40.562,200.873,-37.900,-14.452,28.069,-0.1,-1.0,181.136,13.17,36.70,2.93,
2025/07/15 12:38:08,213.245,27.960,188.354,99.981,28.068,-0.1,-1.0,181.132,-90.38,-178.70,2.93,
2025/07/15 12:38:09,120.779,312.469,81.549,-89.091,28.066,-0.1,-1.0,181.121,82.55,-72.64,2.93,
2025/07/15 12:39:00,153.687,22.986,141.484,60.017,28.069,-0.1,-1.0,181.173,-54.51,-136.20,2.93,
2025/07/15 12:39:01,74.643,342.727,71.277,-22.163,28.069,-0.1,-1.0,181.115,22.73,-68.38,2.93,
2025/07/15 12:39:02,41.886,136.745,-30.506,28.702,28.068,-0.1,-1.0,181.097,-26.62,27.23,2.93,
2025/07/15 12:39:03,51.619,5.345,51.394,4.808,28.070,-0.1,-1.0,181.109,-3.80,-51.37,2.93,
2025/07/15 12:39:04,128.587,20.145,120.721,44.286,28.069,-0.1,-1.0,181.072,-40.47,-117.06,2.93,
2025/07/15 12:39:05,196.735,0.382,196.731,1.311,28.070,-0.1,-1.0,181.073,2.37,-196.71,2.93,
2025/07/15 12:39:06,183.304,40.408,139.576,118.823,28.071,-0.1,-1.0,181.051,-106.05,-129.30,2.93,
2025/07/15 12:39:07,113.588,15.884,109.251,31.089,28.070,-0.1,-1.0,181.043,-28.40,-107.17,2.93,
2025/07/15 12:39:08,92.343,64.231,40.146,83.160,28.069,-0.1,-1.0,181.040,-77.40,-39.11,2.93,
2025/07/15 12:39:09,111.438,333.527,99.753,-49.676,28.068,-0.1,-1.0,181.029,48.22,-92.63,2.93,
2025/07/15 12:40:00,36.018,46.088,24.980,25.948,28.061,-0.1,-1.0,181.126,-23.14,-23.17,2.93,
2025/07/15 12:40:01,154.234,37.947,121.625,94.845,28.065,-0.1,-1.0,181.138,-84.62,-113.08,2.93,
2025/07/15 12:40:02,89.316,351.125,88.247,-13.780,28.066,-0.1,-1.0,181.197,15.44,-86.91,2.93,
2025/07/15 12:40:03,205.365,342.787,196.167,-60.773,28.066,-0.1,-1.0,181.179,62.55,-188.13,2.93,
2025/07/15 12:40:04,63.251,345.722,61.297,-15.599,28.068,-0.1,-1.0,181.183,16.43,-59.39,2.93,
2025/07/15 12:40:05,113.101,27.515,100.308,52.251,28.069,-0.1,-1.0,181.137,-47.26,-95.29,2.93,
2025/07/15 12:40:06,67.076,343.511,64.317,-19.039,28.068,-0.1,-1.0,181.170,19.69,-61.85,2.93,
2025/07/15 12:40:07,97.742,126.614,-58.295,78.455,28.068,-0.1,-1.0,181.111,-73.04,52.11,2.93,
2025/07/15 12:40:08,102.848,148.787,-87.961,53.298,28.064,-0.1,-1.0,181.187,-50.94,80.27,2.93,
2025/07/15 12:40:09,142.239,200.688,-133.067,-50.249,28.064,-0.1,-1.0,181.107,45.84,128.87,2.93,
2025/07/15 12:41:00,69.086,337.246,63.709,-26.720,28.095,0.1,-1.0,168.878,13.72,-66.63,2.93,
2025/07/15 12:41:01,98.189,38.065,77.306,60.538,28.098,0.1,-1.0,168.844,-67.73,-58.42,2.93,
2025/07/15 12:41:02,167.920,132.584,-113.628,123.636,28.099,0.1,-1.0,168.772,-90.89,124.24,2.93,
2025/07/15 12:41:03,68.374,107.974,-21.099,65.037,28.101,0.1,-1.0,168.749,-55.63,31.12,2.93,
2025/07/15 12:41:04,106.665,28.295,93.920,50.561,28.102,0.1,-1.0,168.755,-61.93,-75.02,2.93,
2025/07/15 12:41:05,101.487,51.394,63.323,79.308,28.102,0.1,-1.0,168.781,-84.48,-43.76,2.93,
2025/07/15 12:41:06,83.848,220.076,-64.159,-53.982,28.104,0.1,-1.0,168.733,59.79,47.82,2.93,
2025/07/15 12:41:07,146.715,38.782,114.370,91.896,28.105,0.1,-1.0,168.748,-102.51,-85.91,2.93,
2025/07/15 12:41:08,59.412,69.603,20.707,55.687,28.105,0.1,-1.0,168.744,-58.09,-9.35,2.93,
2025/07/15 12:41:09,72.907,109.385,-24.199,68.774,28.107,0.1,-1.0,168.748,-58.25,34.50,2.93,
2025/07/15 12:42:00,29.415,292.550,11.280,-27.166,28.111,0.1,-1.0,169.079,22.62,-14.96,2.93,
2025/07/15 12:42:01,66.255,54.693,38.293,54.068,28.113,0.1,-1.0,169.048,-57.13,-25.86,2.93,
2025/07/15 12:42:02,89.668,308.778,56.160,-69.903,28.114,0.1,-1.0,169.015,52.79,-62.38,2.93,
2025/07/15 12:42:03,100.992,146.233,-83.956,56.133,28.113,0.1,-1.0,169.043,-37.25,88.57,2.93,
2025/07/15 12:42:04,72.487,113.959,-29.436,66.241,28.114,0.1,-1.0,169.015,-54.60,38.15,2.93,
2025/07/15 12:42:05,158.725,10.247,156.193,28.235,28.114,0.1,-1.0,168.985,-55.04,-141.46,2.93,
2025/07/15 12:42:06,84.225,268.985,-1.493,-84.212,28.114,0.1,-1.0,168.970,81.98,-14.48,2.93,
2025/07/15 12:42:07,63.425,117.199,-28.990,56.412,28.115,0.1,-1.0,168.961,-45.51,35.87,2.93,
